id_produit,p_nom,p_description,p_prix,p_stock,p_note,p_nb_ventes,p_statut,pourcentage_reduction,image_url,nombre_avis,note_moyenne,category
1,Galette Bretonne,Galette au sarrasin traditionnelle,29.99,20,4.5,150,En ligne,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,45,4.5,Nourriture
2,Crêpe au Chocolat,Crêpe garnie de chocolat fondant,5.50,35,4.2,89,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,32,4.2,Nourriture
3,Cidre Brut,Bouteille de cidre breton,12.00,15,4.7,200,En ligne,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,67,4.7,Boisson
4,Caramel au Beurre Salé,Pot de caramel maison,6.50,0,4.0,45,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,23,4.0,Épicerie
5,Thé à la Menthe,Sachets de thé à la menthe,9.00,8,4.3,78,En ligne,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,34,4.3,Boisson
6,Kouign Amann,Véritable gâteau breton au beurre et sucre,14.50,12,4.8,110,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,55,4.8,Pâtisserie
7,Palets Bretons,Boîte de biscuits sablés pur beurre,7.90,50,4.6,230,En ligne,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,90,4.6,Épicerie
8,Bolée à Cidre,Lot de 2 bolées traditionnelles en faïence,19.99,25,4.4,65,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,28,4.4,Artisanat
9,Conserve de Sardines,Sardines millésimées à l'huile d'olive,4.75,40,4.1,52,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,15,4.1,Épicerie
10,Farine de Sarrasin,Sac de 1kg de farine de blé noir (IGP Bretagne),8.50,60,4.9,180,En ligne,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,75,4.9,Épicerie
11,Marinière Classique,Pull marin en coton rayé bleu et blanc,49.90,30,4.7,95,En ligne,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,42,4.7,Textile
12,Huîtres N°3 (x12),Douzaine d'huîtres creuses de Cancale,22.00,10,4.9,70,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,30,4.9,Mer
13,Fleur de Sel de Guérande,Sachet de 250g de fleur de sel,5.90,150,4.8,300,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,120,4.8,Épicerie
14,Gâteau Breton (part),Part de gâteau traditionnel pur beurre,3.50,40,4.5,88,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,35,4.5,Pâtisserie
15,Chouchen Artisanal,Hydromel breton aux saveurs de miel,18.50,18,4.3,40,En ligne,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,22,4.3,Boisson
16,Andouille de Guémené,Véritable andouille fumée (tranchée),9.20,22,4.2,35,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,18,4.2,Nourriture
17,Confiture de Fraises Plougastel,Pot de confiture de fraises de Plougastel,6.80,50,4.6,115,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,50,4.6,Épicerie
18,Affiche 'Port de Doëlan',Reproduction d'affiche vintage (30x40cm),25.00,30,4.9,60,En ligne,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,25,4.9,Artisanat
19,Soupe de Poisson (1L),Soupe de poissons de roche avec rouille,11.50,0,4.4,72,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,33,4.4,Mer
20,Ciré Jaune Marin,Imperméable traditionnel (adulte),59.99,28,4.7,55,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,29,4.7,Textile
21,Cidre Doux (Bio),Bouteille de cidre doux biologique,11.50,25,4.6,90,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,40,4.6,Boisson
22,Rillettes de Thon,Pot de 100g de rillettes de thon aux algues,4.90,70,4.3,120,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,45,4.3,Mer
23,Savon au Lait d'Ânesse,Savon artisanal bio (parfumé lavande),7.20,40,4.8,85,En ligne,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,38,4.8,Artisanat
24,Couteau Marin (Manche Bois),Couteau pliant avec démanilleur,35.00,15,4.5,50,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,20,4.5,Artisanat
25,Miel de Bretagne (Toutes Fleurs),Pot de 500g de miel local,12.50,50,4.9,130,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,60,4.9,Épicerie
26,Pâté Hénaff (Boîte 156g),Le célèbre pâté en conserve,2.95,200,4.7,450,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,150,4.7,Épicerie
27,Biscuits Traou Mad,Boîte métal de galettes de Pont-Aven,11.90,60,4.6,170,En ligne,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,70,4.6,Épicerie
28,T-shirt "Breizh",T-shirt en coton bio (logo 'BZH'),19.95,80,4.4,110,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,48,4.4,Textile
29,Coquilles Saint-Jacques (x6),Coquilles fraîches de la Baie de St-Brieuc,15.00,0,4.8,40,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,18,4.8,Mer
30,Algues Nori (Sachet),Sachet de 50g d'algues Nori séchées,6.10,35,4.2,65,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,25,4.2,Épicerie
31,Jus de Pomme Pétillant,Bouteille 75cl (sans alcool),8.50,40,4.7,95,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,40,4.7,Boisson
32,Beurre Bordier (Demi-Sel),Plaquette de 250g de beurre au sel fumé,5.80,30,4.9,210,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,95,4.9,Épicerie
33,Bol Faïence de Quimper,Bol 'prénom' peint à la main (ex: 'Jean'),29.90,20,4.6,75,En ligne,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,30,4.6,Artisanat
34,Caramels tendres (sachet),Sachet 200g de caramels au beurre salé,8.00,100,4.5,160,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,65,4.5,Épicerie
35,Gravure Marine (Phare),Illustration du phare d'Ar-Men (signée),45.00,10,4.8,30,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,12,4.8,Artisanat
36,Bonnet Miki Marin,Véritable bonnet de quart (couleur: bleu marine),24.50,50,4.6,105,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,50,4.6,Textile
37,Cotriade (Conserve 400g),Soupe de poisson bretonne traditionnelle,10.50,35,4.3,60,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,28,4.3,Mer
38,Haricots Coco de Paimpol (AOC),Sachet de 1kg (frais),12.99,15,4.7,55,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,24,4.7,Nourriture
39,Crêpes Dentelle (Gavottes),Boîte de 125g de biscuits croustillants,4.50,150,4.8,350,En ligne,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,140,4.8,Épicerie
40,Confiture d'Oignons Roscoff,Pot de 100g (idéal foie gras ou fromage),5.60,45,4.5,70,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,30,4.5,Épicerie
41,Rillettes de Porc (Artisanales),Pot de 200g (recette traditionnelle),7.80,30,4.6,80,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,35,4.6,Nourriture
42,Jus de Pomme Artisanal (1L),Pur jus de pommes de vergers locaux,6.00,60,4.7,110,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,50,4.7,Boisson
43,Porte-clés Triskell,Porte-clés en métal argenté (symbole celte),9.90,100,4.4,200,En ligne,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,85,4.4,Artisanat
44,Set de Table Marin,Set de table en coton (motif ancre),6.50,70,4.3,90,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,40,4.3,Artisanat
45,Saucisson de sanglier,Saucisson sec artisanal au sanglier (200g),11.00,25,4.2,45,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,22,4.2,Nourriture
46,Bière Bretonne (Blonde),Pack de 6x33cl (Brasserie Lancelot),19.90,30,4.6,85,En ligne,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,39,4.6,Boisson
47,Crème de Salidou,Crème de caramel au beurre salé à tartiner,6.90,80,4.8,190,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,90,4.8,Épicerie
48,Moules de Bouchot (1kg),Moules fraîches (selon saison),8.00,0,4.5,150,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,60,4.5,Mer
49,Varech (Salade d'algues),Barquette de 150g (aux 3 algues),5.30,40,4.1,50,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,20,4.1,Mer
50,Poster "Phares de Bretagne",Affiche éducative (50x70cm),18.00,50,4.7,70,En ligne,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,30,4.7,Artisanat
51,Lot de 6 Crêpes Complètes,Crêpes garnies jambon-fromage-œuf,18.50,0,4.3,85,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,40,4.3,Nourriture
52,Whisky Breton (Armorik),Bouteille 70cl - Single Malt,45.00,0,4.7,25,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,15,4.7,Boisson
53,Plateau de Fruits de Mer (Moyen),Plateau pour 2 personnes,35.00,0,4.6,60,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,28,4.6,Mer
54,Pull Marin (Enfant),Marinière pour enfant (4-6 ans),24.90,0,4.4,45,En rupture,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,22,4.4,Textile
55,Figues Séchées de Bretagne,Sachet de 200g de figues séchées,7.50,0,4.2,35,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,18,4.2,Épicerie
56,Statuette de Korrigan,Sculpture en bois de korrigan (15cm),32.00,0,4.8,20,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,12,4.8,Artisanat
57,Terrine de Canard aux Pruneaux,Pot de 250g de terrine artisanale,8.90,0,4.5,55,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,25,4.5,Nourriture
58,Pommeau de Bretagne,Apéritif à base de cidre et de calvados,22.00,0,4.3,30,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,16,4.3,Boisson
59,Coquillage Géant Décoratif,Grand coquillage naturel (20-25cm),15.00,0,4.1,40,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,20,4.1,Artisanat
60,Fromage de Chèvre Frais,Fromage de chèvre artisanal (200g),6.50,0,4.6,70,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,35,4.6,Nourriture
61,Sirop de Menthe Artisanal,Bouteille 50cl de sirop de menthe,9.50,0,4.4,25,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,14,4.4,Boisson
62,Cache-pot Faïence de Quimper,Pot de fleurs décoratif (hauteur 25cm),28.00,0,4.7,15,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,8,4.7,Artisanat
63,Raisins de Mer (Pétoncles),Barquette de 200g de pétoncles,12.50,0,4.5,35,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,18,4.5,Mer
64,Bonnet Breton (Femme),Bonnet en laine avec motif breton,18.00,0,4.3,50,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,24,4.3,Textile
65,Pralines de Quiberon,Sachet de 150g de pralines artisanales,11.00,0,4.8,40,En rupture,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN_VlyqHdDhxj9qXg14AG5JAh0FtvR__gAnQ&s,20,4.8,Pâtisserie